Gx,Gy,Gz,RF
3.564092,0,0,-0.760857
3.564092,0,0,-0.760857
3.564092,0,0,-0.760857
3.564092,0,0,-1.190072
3.564092,0,0,-1.190072
3.564092,0,0,-1.190072
3.564092,0,0,-1.190072
3.564092,0,0,-1.566115
3.564092,0,0,-1.566115
3.564092,0,0,-1.566115
3.564092,0,0,-1.566115
3.564092,0,0,-1.870896
3.564092,0,0,-1.870896
3.564092,0,0,-1.870896
3.564092,0,0,-1.870896
3.564092,0,0,-1.870896
3.564092,0,0,-2.083037
3.564092,0,0,-2.083037
3.564092,0,0,-2.083037
3.564092,0,0,-2.083037
3.564092,0,0,-2.19267
3.564092,0,0,-2.19267
3.564092,0,0,-2.19267
3.564092,0,0,-2.19267
3.564092,0,0,-2.186092
3.564092,0,0,-2.186092
3.564092,0,0,-2.186092
3.564092,0,0,-2.186092
3.564092,0,0,-2.065495
3.564092,0,0,-2.065495
3.564092,0,0,-2.065495
3.564092,0,0,-2.065495
3.564092,0,0,-1.830332
3.564092,0,0,-1.830332
3.564092,0,0,-1.830332
3.564092,0,0,-1.830332
3.564092,0,0,-1.493209
3.564092,0,0,-1.493209
3.564092,0,0,-1.493209
3.564092,0,0,-1.493209
3.564092,0,0,-1.493209
3.564092,0,0,-1.066186
3.564092,0,0,-1.066186
3.564092,0,0,-1.066186
3.564092,0,0,-1.066186
3.564092,0,0,-0.572287
3.564092,0,0,-0.572287
3.564092,0,0,-0.572287
3.564092,0,0,-0.572287
3.564092,0,0,-0.03289
3.564092,0,0,-0.03289
3.564092,0,0,-0.03289
3.564092,0,0,-0.03289
3.564092,0,0,0.521307
3.564092,0,0,0.521307
3.564092,0,0,0.521307
3.564092,0,0,0.521307
3.564092,0,0,1.06509
3.564092,0,0,1.06509
3.564092,0,0,1.06509
3.564092,0,0,1.06509
3.564092,0,0,1.06509
3.564092,0,0,1.566115
3.564092,0,0,1.566115
3.564092,0,0,1.566115
3.564092,0,0,1.566115
3.564092,0,0,2.000263
3.564092,0,0,2.000263
3.564092,0,0,2.000263
3.564092,0,0,2.000263
3.564092,0,0,2.338483
3.564092,0,0,2.338483
3.564092,0,0,2.338483
3.564092,0,0,2.338483
3.564092,0,0,2.565424
3.564092,0,0,2.565424
3.564092,0,0,2.565424
3.564092,0,0,2.565424
3.564092,0,0,2.660805
3.564092,0,0,2.660805
3.564092,0,0,2.660805
3.564092,0,0,2.660805
